Name,result,longitude,latitude,
會津桜鍋 鶴我 会津本店,OK,37.4949087,139.9306756,https://www.google.com/search?q=37.4949087+139.9306756
あいづ伝統料理　祥,OK,37.5003488,139.9315448,https://www.google.com/search?q=37.5003488+139.9315448
あいづ浪漫亭　しおぐら,OK,37.4974569,139.9273842,https://www.google.com/search?q=37.4974569+139.9273842
伍代目　鰻のえびや,OK,37.4971966,139.9304544,https://www.google.com/search?q=37.4971966+139.9304544
うなぎ大和,ZERO_RESULTS,37.490857,139.926805,
隠れ家 restaurant 隆の里,OK,37.4983553,139.9482254,https://www.google.com/search?q=37.4983553+139.9482254
元祖ほるもん道場　会津若松清水通り店,OK,37.4967118,139.9309937,https://www.google.com/search?q=37.4967118+139.9309937
かんのや,ZERO_RESULTS,37.4990364,139.9339855,
桐屋・権現亭,OK,37.4973,139.933537,https://www.google.com/search?q=37.4973+139.933537
手打ちそば・うどん　徳一,OK,35.8585726,139.5190321,https://www.google.com/search?q=35.8585726+139.5190321
料理旅館　田事,OK,37.5019307,139.9234176,https://www.google.com/search?q=37.5019307+139.9234176
和風れすとらん　くいしん坊,OK,37.4975743,139.9281359,https://www.google.com/search?q=37.4975743+139.9281359
會津バル,OK,37.4986885,139.9280957,https://www.google.com/search?q=37.4986885+139.9280957
Café & Bar UNO （カフェバー ウーノ）,OK,37.4996954,139.9231427,https://www.google.com/search?q=37.4996954+139.9231427
心花（ときめき）,OK,36.11778,139.668019,https://www.google.com/search?q=36.11778+139.668019
Pub entrance Uzia,OK,37.5035849,139.9296058,https://www.google.com/search?q=37.5035849+139.9296058
Beer cafe THIRD PLACE,OK,35.5511613,139.788302,https://www.google.com/search?q=35.5511613+139.788302
PRONTO 会津若松店,OK,37.4975214,139.9282714,https://www.google.com/search?q=37.4975214+139.9282714
ホームベーカリーコビヤマ,OK,37.5067644,139.9441299,https://www.google.com/search?q=37.5067644+139.9441299
レストラン　ラ　レゾン,OK,37.4953965,139.9267948,https://www.google.com/search?q=37.4953965+139.9267948
インド料理レストラン　カーンナワブ,OK,37.4954841,139.929835,https://www.google.com/search?q=37.4954841+139.929835
スパイス処　サバイ,OK,37.4970668,139.9315078,https://www.google.com/search?q=37.4970668+139.9315078
Soupcurry & Dining tipu,OK,37.494706,139.9322974,https://www.google.com/search?q=37.494706+139.9322974
居食・居酒屋　なごみ,OK,37.4977356,139.9311283,https://www.google.com/search?q=37.49773560000001+139.9311283
ラーメン居酒屋　寿楽,OK,37.4979805,139.9327128,https://www.google.com/search?q=37.4979805+139.9327128